timestamp;Verzendnummer;Bestemmings code;Verdeel code;Aantal op stikker;Source;Source Subtype;Source ID;Source Ref_ No_;Box activiteit entry;Dehner Order Entry;Dehner Order Regel Entry Rgl;Dehner Order Verdeel Entry Rgl;Voorbouw Inkooporder nummer;Voorbouw Klantnummer;Voorbouw KarId
0x000000002B2EB099;45660;00398174880015344885990440;3054042690000444001100001000001000010001;10.00000000000000000000;37;1;KO23-07720;40000;11802200;141742;40000;200000;;;0
0x000000002B2EB089;45660;00398174880015344885990440;3054042690000544001100001000001000010001;10.00000000000000000000;37;1;KO23-07720;50000;11802235;141742;50000;320000;;;0
0x000000002B2EB09B;45660;00398174880015344885990440;3054042690000744001100001000001000010001;10.00000000000000000000;37;1;KO23-07720;70000;11802066;141742;70000;540000;;;0
0x000000002B2EB08D;45660;00398174880015344885990440;3054042690000844001100001000001000010001;10.00000000000000000000;37;1;KO23-07720;80000;11802042;141742;80000;680000;;;0
0x000000002B2EB08F;45660;00398174880015344885990440;3054042690000944001100001000001000010001;10.00000000000000000000;37;1;KO23-07720;90000;11802171;141742;90000;750000;;;0
0x000000002B2EB0A5;45660;00398174880015344885990440;3054042690001244001100000600000600010001;6.00000000000000000000;37;1;KO23-07720;120000;11804267;141742;120000;820000;;;0
0x000000002B2EB097;45660;00398174880015344885990440;3054042690001444001100000600000600010001;6.00000000000000000000;37;1;KO23-07720;140000;11803407;141742;140000;920000;;;0
0x000000002B2EB0A1;45660;00398174880015344885990440;3054042690001544001100000600000600010001;6.00000000000000000000;37;1;KO23-07720;150000;11803512;141742;150000;1000000;;;0
0x000000002B2EB09D;45660;00398174880015344885990440;3054042690001644001100000600000600010001;6.00000000000000000000;37;1;KO23-07720;160000;11802612;141742;160000;1030000;;;0
0x000000002B2EB07D;45660;00398174880015344885990440;3054042690002044001100000600000600010001;6.00000000000000000000;37;1;KO23-07720;200000;11803963;141742;200000;1210000;;;0
0x000000002B2EB09F;45660;00398174880015344885990440;3054042690002344001100000600000600010001;6.00000000000000000000;37;1;KO23-07720;230000;11802150;141742;230000;1480000;;;0
0x000000002B2EB083;45660;00398174880015344885990440;3054042690002844001100000600000600010001;6.00000000000000000000;37;1;KO23-07720;280000;11804010;141742;280000;1660000;;;0
0x000000002B2EB091;45660;00398174880015344885990440;3054042690002944001100000600000600010001;6.00000000000000000000;37;1;KO23-07720;290000;11803391;141742;290000;1870000;;;0
0x000000002B2EB071;45660;00398174880015344885990440;3054042690003344001100000200000200010001;2.00000000000000000000;37;1;KO23-07720;330000;11804642;141742;330000;2090000;;;0
0x000000002B2EB06B;45660;00398174880015344885990440;3054042690003444001100000200000200010001;2.00000000000000000000;37;1;KO23-07720;340000;11804479;141742;340000;2100000;;;0
0x000000002B2EB067;45660;00398174880015344885990440;3054042690003644001100000100000100010001;1.00000000000000000000;37;1;KO23-07720;360000;11804472;141742;360000;2130000;;;0
0x000000002B2EB065;45660;00398174880015344885990440;3054042690003744001100000100000100010001;1.00000000000000000000;37;1;KO23-07720;370000;11804384;141742;370000;2200000;;;0
0x000000002B2EB079;45660;00398174880015344885990440;3054042690004144001100000200000200010001;2.00000000000000000000;37;1;KO23-07720;410000;11804620;141742;410000;2490000;;;0
0x000000002B2EB06D;45660;00398174880015344885990440;3054042690004344001100000100000100010001;1.00000000000000000000;37;1;KO23-07720;430000;11804388;141742;430000;2660000;;;0
0x000000002B2EB077;45660;00398174880015344885990440;3054042690004544001100000100000100010001;1.00000000000000000000;37;1;KO23-07720;450000;11804624;141742;450000;2750000;;;0
0x000000002B2EB073;45660;00398174880015344885990440;3054042690004644001100000100000100010001;1.00000000000000000000;37;1;KO23-07720;460000;11804617;141742;460000;2780000;;;0
0x000000002B2EB0A7;45660;00398174880015344885990440;3054042690005344001100000600000600010001;6.00000000000000000000;37;1;KO23-07720;530000;11802384;141742;530000;2970000;;;0
0x000000002B2EB0A9;45660;00398174880015344885990440;3054042690005844001100000100000100010001;1.00000000000000000000;37;1;KO23-07720;580000;11802891;141742;580000;3180000;;;0
0x000000002B2EB085;45660;00398174880015344885990440;3054042690006244001100000600000600010001;6.00000000000000000000;37;1;KO23-07720;620000;11803442;141742;620000;3410000;;;0
0x000000002B2EB0AB;45660;00398174880015344885990440;3054042690007344001100000600000600010001;6.00000000000000000000;37;1;KO23-07720;730000;11802154;141742;730000;3790000;;;0
0x000000002B2EB081;45660;00398174880015344885990440;3054042690007944001100000600000600010001;6.00000000000000000000;37;1;KO23-07720;790000;11803931;141742;790000;3920000;;;0
